Unnamed: 0,SuperMarketNew2004,SuperMarketPre1980,QuickServiceRestaurantNew2004,QuickServiceRestaurantPre1980,PrimarySchoolNew2004,PrimarySchoolPre1980,StripMallNew2004,StripMallPre1980,WarehouseNew2004,WarehousePre1980,Stand-aloneRetailNew2004,Stand-aloneRetailPre1980,SecondarySchoolNew2004,SecondarySchoolPre1980,FullServiceRestaurantNew2004,FullServiceRestaurantPre1980,SmallOfficeNew2004,SmallOfficePre1980,MediumOfficeNew2004,MediumOfficePre1980,LargeOfficeNew2004,LargeOfficePre1980,HospitalNew2004,HospitalPre1980,MidriseApartmentNew2004,MidriseApartmentPre1980,SmallHotelNew2004,SmallHotelPre1980,LargeHotelNew2004,LargeHotelPre1980
1368,113.880660233,131.44011337,13.1690459776,14.7801643426,23.5838699532,27.5582982838,23.6994740226,46.2589358376,3.24641213723,2.55779493092,25.4549377862,46.549611087,50.1219642748,54.7110014215,20.8760425153,23.70265542,0.962509384202,1.0739416974,9.3856760881,10.1491960766,105.555984258,111.786075142,320.390329668,400.299239951,9.07672644584,8.96048368088,28.2753836901,34.2965772879,94.1180715527,119.655280981
1369,111.081465863,128.71951296,12.9204563782,14.5312475483,23.5843993527,27.5593899229,23.6994740226,46.2589358376,3.40894876995,2.13181078686,25.5033760875,46.549611087,50.1219600007,54.7104906341,20.818808833,23.6620247337,0.962509384202,1.0739416974,9.3856760881,10.1491960766,105.555984525,111.786075364,320.307935471,400.239332098,9.18507494021,8.97305289025,28.4633287025,34.4579759052,94.0336749004,119.766898266
1370,112.692521962,130.300992241,12.9366164423,14.5474382284,23.6040540338,27.5795692275,23.6994740226,46.2589358376,3.24641213723,2.4638758024,25.5283218475,46.549611087,50.1601458763,54.7484194219,17.0897856133,19.9131230355,0.962509384202,1.0739416974,9.3856760881,10.1491960766,123.167312365,111.786782929,316.556485517,396.506791544,9.03219141014,8.79550885758,28.5459383939,34.9438494049,84.805093755,108.677259881
1371,110.568580632,128.224536893,12.9353337524,14.5465029818,23.6038402428,27.5799459418,23.6994740226,46.2589358376,3.24641213723,2.10886692168,25.5028111764,46.549611087,50.1584508355,54.7467171021,17.0828631629,19.9082729961,0.962509384202,1.0739416974,9.3856760881,10.1491960766,105.556692032,111.786782843,316.359060173,396.288572168,8.98169336895,8.79088335639,28.4454795379,34.8044279611,84.4786207127,107.990094569
1372,108.829321155,126.459715296,10.4390415875,12.0503948183,23.6096936228,27.5863006388,23.6994740226,46.2589358376,3.24641213723,2.45057729889,25.4937390889,46.549611087,50.168339084,54.7566778954,17.0859544837,19.9117343732,0.962509384202,1.0739416974,9.3856760881,10.1491960766,105.555984249,111.78607517,316.11236318,395.9843203,8.88875163508,8.707633172,28.3754193268,34.6405477437,84.2423254627,107.430837818
1373,108.531702035,126.159598915,10.429267752,12.0412909924,23.60857898,27.5854824653,23.6994740226,46.2589358376,3.39969284168,2.13408771227,25.4346864345,46.549611087,50.1646685,54.753076856,17.0808425897,19.9079631353,0.962509384202,1.0739416974,9.3856760881,10.1491960766,105.555984503,111.786075407,315.686839344,395.368468552,8.71907514279,8.64691586055,28.043958931,34.0551243865,83.5908771187,105.993349643
1374,106.402388092,124.025984478,10.4207616624,12.0338457212,23.6013783845,27.5782330923,23.6994740226,46.2589358376,3.24641213723,2.53228988202,25.4737366297,46.549611087,50.149020952,54.7373540309,17.0728364532,19.8990573696,0.962509384202,1.0739416974,9.3856760881,10.1491960766,105.555512497,111.78560338,315.34693566,394.945249498,9.50734687861,9.33887938916,28.0085464048,33.7806039505,83.4237166421,105.640960639
1375,106.04214062,123.661809638,10.4170063928,12.0290532677,23.5983226142,27.5747955551,23.6994740226,46.2589358376,3.24641213723,2.13980579745,25.4552781551,46.549611087,50.1416896296,54.7299407258,17.0709734005,19.8955974635,0.962509384202,1.0739416974,9.3856760881,10.1491960766,105.555512751,111.785603633,315.045582475,394.567489965,9.48241204398,9.35396917579,27.9265929881,33.6230196866,82.6764806728,104.371453112
1376,105.889729699,123.508865383,10.3722824845,11.9848173316,23.546968215,27.5226909635,23.6994740226,46.2589358376,3.5106055598,2.6890361582,25.4143112347,46.549611087,50.0356991736,54.6236675468,20.779160911,23.6156409775,0.962509384202,1.0739416974,9.3856760881,10.1491960766,129.999908084,136.229998966,302.089803809,381.45360909,12.992376934,13.1271043721,29.5239583285,34.7252606419,96.0453337306,116.53821832
1377,105.977490576,123.598647397,10.3716959087,11.9840245036,23.5464405723,27.5211515657,23.6994740226,46.2589358376,3.24641213723,2.17073961025,25.4143112347,46.549611087,50.0342353369,54.6217457139,20.784734678,23.6035641143,0.962509384202,1.0739416974,9.3856760881,10.1491960766,129.999908236,136.229999118,302.068675738,381.425988479,12.9669133344,13.1589524134,29.4191758305,34.0288305388,95.6637999939,115.41492329
